,Postal Code,Borough,Neighbourhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7532586,-79.3296565
1,M4A,North York,Victoria Village,43.7236846,-79.3026099
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.638834,-79.3818785
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.722774,-79.450928
4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6622781,-79.3915272
5,M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6624287,-79.5311507
6,M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534
7,M3B,North York,Don Mills,43.7459058,-79.352188
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7061385,-79.3254151
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6576585,-79.3788017
10,M6B,North York,Glencairn,43.7085137,-79.4460747
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6659912,-79.5593462
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.794719,-79.134478
13,M3C,North York,Don Mills,43.7258997,-79.340923
14,M4C,East York,Woodbine Heights,43.693328,-79.316064
15,M5C,Downtown Toronto,St. James Town,43.6708666,-79.3733064
16,M6C,York,Humewood-Cedarvale,43.6937813,-79.4281914
17,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.643238,-79.580168
18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.756317,-79.182354
19,M4E,East Toronto,The Beaches,43.6763574,-79.2930312
20,M5E,Downtown Toronto,Berczy Park,43.6481,-79.3752
21,M6E,York,Caledonia-Fairbanks,43.6899015,-79.4551573
22,M1G,Scarborough,Woburn,43.7709921,-79.2169174
23,M4G,East York,Leaside,43.7090604,-79.3634517
24,M5G,Downtown Toronto,Central Bay Street,43.6561008,-79.3838658
25,M6G,Downtown Toronto,Christie,43.6641133,-79.4183667
26,M1H,Scarborough,Cedarbrae,43.773136,-79.2394761
27,M2H,North York,Hillcrest Village,43.8037622,-79.3634517
28,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7512848,-79.456075
29,M4H,East York,Thorncliffe Park,43.7053689,-79.3493719
30,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6499721,-79.3832232
31,M6H,West Toronto,"Dufferin, Dovercourt Village",43.6646942,-79.4373979
32,M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761
33,M2J,North York,"Fairview, Henry Farm, Oriole",43.7736394,-79.3510413
34,M3J,North York,"Northwood Park, York University",43.7734535,-79.5018684
35,M4J,East York,"East Toronto, Broadview North (Old East York)",43.6885292,-79.3532778
36,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6404124,-79.3757241
37,M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497
38,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.6966002,-79.2595629
39,M2K,North York,Bayview Village,43.7690903,-79.3854777
40,M3K,North York,Downsview,43.7374732,-79.4647633
41,M4K,East Toronto,"The Danforth West, Riverdale",43.671146,-79.342278
42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6476942,-79.3803279
43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914
44,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.697288,-79.274886
45,M2L,North York,"York Mills, Silver Hills",43.7630128,-79.3704909
46,M3L,North York,Downsview,43.7390146,-79.5069436
47,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481177,-79.3792921
49,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7158954,-79.4930791
50,M9L,North York,Humber Summit,43.7563033,-79.5659633
51,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761
52,M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.4084928
53,M3M,North York,Downsview,43.7266992,-79.4820609
54,M4M,East Toronto,Studio District,43.658395,-79.338965
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6854767,-79.4887807
57,M9M,North York,"Humberlea, Emery",43.7167139,-79.5259843
58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.7023144,-79.250164
59,M2N,North York,"Willowdale, Willowdale East",43.7744485,-79.4040677
60,M3N,North York,Downsview,43.7266992,-79.4820609
61,M4N,Central Toronto,Lawrence Park,43.7237857,-79.38865
62,M5N,Central Toronto,Roselawn,43.7073465,-79.4162438
63,M6N,York,"Runnymede, The Junction North",43.6652604,-79.4819817
64,M9N,York,Weston,43.6977174,-79.5181105
65,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7756056,-79.2578685
66,M2P,North York,York Mills West,43.7527583,-79.4000493
67,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
68,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6941988,-79.4064758
69,M6P,West Toronto,"High Park, The Junction South",43.665633,-79.470001
70,M9P,Etobicoke,Westmount,43.6893282,-79.5197703
71,M1R,Scarborough,"Wexford, Maryvale",43.762575,-79.314767
72,M2R,North York,"Willowdale, Willowdale West",43.7711708,-79.4197497
73,M4R,Central Toronto,"North Toronto West, Lawrence Park",43.7153834,-79.4056784
74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.670749,-79.39304
75,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
76,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6362079,-79.6156297
77,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6878086,-79.5690876
78,M1S,Scarborough,Agincourt,43.7942003,-79.2620294
79,M4S,Central Toronto,Davisville,43.7043244,-79.3887901
80,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6628917,-79.3956564
81,M6S,West Toronto,"Runnymede, Swansea",43.6487875,-79.4753298
82,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7810585,-79.2981138
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.6845588,-79.3829771
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.650883,-79.397226
85,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8019369,-79.2954005
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6811436,-79.3944199
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6425662,-79.3870568
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6007776,-79.505257
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7283681,-79.591509
90,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.7995856,-79.3100511
91,M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294
92,M5W,Downtown Toronto,Stn A PO Boxes,43.646188,-79.374978
93,M8W,Etobicoke,"Alderwood, Long Branch",43.5913165,-79.5461543
94,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.7356492,-79.6258435
95,M1X,Scarborough,Upper Rouge,43.8095709,-79.1871703
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.6657194,-79.3687194
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6486111,-79.3816667
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6502183,-79.4938667
99,M4Y,Downtown Toronto,Church and Wellesley,43.6657119,-79.3809482
100,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.653226,-79.3831843
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6512491,-79.4948901
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6209038,-79.5266443
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
